building,floor,class_no,capacity,no_boards,no_projector,allow_individual,has_window,has_Cam,has_docCam,has_outlets,has_lectureCap,has_touchScreen,image_url
SCI,Z,42,48,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,43,34,0,1,0,1,1,0,1,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,242,50,0,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,149,105,0,3,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,220,35,0,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,50,30,0,1,0,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,1,28,39,4,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,Z,21,38,2,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,19,32,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,08,21,0,1,1,0,0,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,Z,15,58,4,1,0,1,1,1,0,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,172,28,4,1,0,0,1,0,1,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,153,45,6,1,0,0,1,0,1,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,152,24,4,1,1,0,1,0,1,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,11,54,4,1,0,0,1,1,0,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,119,30,4,1,0,1,1,0,0,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,Z,50,22,0,3,1,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,08,107,4,2,0,0,1,1,0,1,1,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,30,80,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,Z,27,40,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,Z,21,39,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,Z,15,12,0,1,1,1,0,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,Z,14,25,1,1,1,1,0,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,35,28,1,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,30,21,4,1,1,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,29,21,4,1,1,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,28,21,4,1,1,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,21,107,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,16,54,0,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,10,107,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,B,07,107,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,1,45,23,4,1,1,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,1,44,23,4,1,1,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,1,04,40,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SOS,1,03,40,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,184,42,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,B,173,47,4,1,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,52,104,2,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,51,45,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,42,67,4,1,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,22,154,0,2,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,21,154,0,2,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,11,22,4,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,A,44,40,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,61,24,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,59,65,4,1,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,58,70,4,1,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,57,50,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,56,50,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,22,18,4,1,1,1,1,0,1,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,04,50,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SNA,1,03,50,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,Z,32,25,4,1,1,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,Z,29,24,2,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,Z,24,92,4,1,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,Z,09,21,2,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,Z,08,21,2,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,Z,07,33,4,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,Z,06,21,1,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,1,29,44,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,1,26,23,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,1,25,22,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
SCI,1,03,48,4,1,0,1,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,Z,21A,50,2,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,42,42,2,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,32,41,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,29,80,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,21,35,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,20B,24,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,20A,25,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,18,36,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,16,36,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,15,35,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,11,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,06,18,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,05,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,1,20,20,0,1,1,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,15,27,0,1,0,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,13,27,0,1,0,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,12,28,0,1,0,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,10,40,0,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,09,28,0,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,07,25,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,06,24,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,04,21,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,03,21,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,1,15,60,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,48,79,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,33,34,4,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,27,55,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,26,35,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,25,36,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,24,58,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,16C,23,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,16B,23,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,16A,23,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,08,53,4,1,0,0,1,1,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,41,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,40,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,39,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,38,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,35,24,4,1,1,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,34,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,33,34,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,31,34,4,1,0,0,1,0,1,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,30B,17,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,30A,20,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,26,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,24,64,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,15,16,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,13,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,12,22,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,2,16,39,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,36,26,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,34,34,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,33,33,2,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,24,40,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
